
SatTrack V4.18.1.0 Shadow Analysis


Input file:

  Shadow.NUSTAR


Object:

  Object Name       : NUSTAR
  Object Number     : 99105
  Element Set Number: 999
  Reference Orbit   : 44844
  Element Set Epoch : 08-Sep-2020  2020/252  16:21:48.797 UTC
  Element Set Age   : 0.318 d
  Launch Date/Time  : 13-Jun-2012  2012/165  16:00:37.000 UTC
  Central Body      : Earth
  Orbit Geometry    : 617.492 km x 601.199 km at 6.024 deg
  Avrg Nodal Period : 96.493 min
  Propagation Model : SGP4


Shadow Statistics:

  Begin of Analysis Interval  : 09-Sep-2020  2020/253  00:00:00 UTC
  End of Analysis Interval    : 09-Oct-2020  2020/283  00:00:00 UTC
  Total Time Interval         : 30.000 d
  Time Resolution             : 10.000 s
  Shadow Entry/Exit Condition : 100.0 % of Full Sunlight
  Number of Shadow Periods    : 448
  Shortest Gap Between Shadows: 61.000 min
  Longest Gap Between Shadows : 61.333 min


  Shortest Penumbra   Longest Penumbra   Average Penumbra   Total Penumbra   Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           0.0                0.2                0.1               62.0                  0.1


    Shortest Umbra      Longest Umbra      Average Umbra      Total Umbra    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           4.7               35.5               35.2            15770.3                 36.5


   Shortest Shadow     Longest Shadow     Average Shadow     Total Shadow    Fraction of Analysis Interval
         [min]              [min]              [min]              [min]                  [%]

           4.8               35.5               35.3            15832.3                 36.6


Shadow Periods:

     Shadow Begin    -       Shadow End          Entry Penumbra   Exit Penumbra   Total Penumbra     Total Umbra     Total Shadow      Depth

  2020/255 09:56:20  -  2020/255 10:31:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 11:33:00  -  2020/255 12:08:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 13:09:40  -  2020/255 13:45:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 14:46:20  -  2020/255 15:21:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/255 16:23:00  -  2020/255 16:58:20  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/255 17:59:30  -  2020/255 18:35:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 19:36:10  -  2020/255 20:11:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 21:12:50  -  2020/255 21:48:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/255 22:49:30  -  2020/255 23:24:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 00:26:10  -  2020/256 01:01:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 02:02:50  -  2020/256 02:38:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 03:39:30  -  2020/256 04:14:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/256 05:16:00  -  2020/256 05:51:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 06:52:40  -  2020/256 07:28:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 08:29:20  -  2020/256 09:04:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 10:06:00  -  2020/256 10:41:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 11:42:40  -  2020/256 12:18:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 13:19:20  -  2020/256 13:54:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/256 14:55:50  -  2020/256 15:31:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 16:32:30  -  2020/256 17:08:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 18:09:10  -  2020/256 18:44:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/256 19:45:50  -  2020/256 20:21:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 21:22:30  -  2020/256 21:57:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/256 22:59:10  -  2020/256 23:34:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/257 00:35:40  -  2020/257 01:11:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 02:12:20  -  2020/257 02:47:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 03:49:00  -  2020/257 04:24:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 05:25:40  -  2020/257 06:01:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/257 07:02:20  -  2020/257 07:37:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/257 08:39:00  -  2020/257 09:14:20  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/257 10:15:30  -  2020/257 10:51:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 11:52:10  -  2020/257 12:27:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 13:28:50  -  2020/257 14:04:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 15:05:30  -  2020/257 15:40:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/257 16:42:10  -  2020/257 17:17:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/257 18:18:50  -  2020/257 18:54:10  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/257 19:55:30  -  2020/257 20:30:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/257 21:32:00  -  2020/257 22:07:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/257 23:08:40  -  2020/257 23:44:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 00:45:20  -  2020/258 01:20:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 02:22:00  -  2020/258 02:57:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 03:58:40  -  2020/258 04:34:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 05:35:20  -  2020/258 06:10:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/258 07:11:50  -  2020/258 07:47:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 08:48:30  -  2020/258 09:24:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 10:25:10  -  2020/258 11:00:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 12:01:50  -  2020/258 12:37:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 13:38:30  -  2020/258 14:13:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 15:15:10  -  2020/258 15:50:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/258 16:51:40  -  2020/258 17:27:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 18:28:20  -  2020/258 19:03:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 20:05:00  -  2020/258 20:40:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/258 21:41:40  -  2020/258 22:17:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/258 23:18:20  -  2020/258 23:53:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 00:55:00  -  2020/259 01:30:20  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/259 02:31:30  -  2020/259 03:07:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/259 04:08:10  -  2020/259 04:43:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/259 05:44:50  -  2020/259 06:20:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/259 07:21:30  -  2020/259 07:56:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 08:58:10  -  2020/259 09:33:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 10:34:50  -  2020/259 11:10:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 12:11:30  -  2020/259 12:46:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/259 13:48:00  -  2020/259 14:23:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/259 15:24:40  -  2020/259 16:00:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/259 17:01:20  -  2020/259 17:36:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 18:38:00  -  2020/259 19:13:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 20:14:40  -  2020/259 20:50:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/259 21:51:20  -  2020/259 22:26:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/259 23:27:50  -  2020/260 00:03:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 01:04:30  -  2020/260 01:40:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 02:41:10  -  2020/260 03:16:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 04:17:50  -  2020/260 04:53:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 05:54:30  -  2020/260 06:29:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 07:31:10  -  2020/260 08:06:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/260 09:07:40  -  2020/260 09:43:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 10:44:20  -  2020/260 11:19:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 12:21:00  -  2020/260 12:56:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 13:57:40  -  2020/260 14:33:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 15:34:20  -  2020/260 16:09:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/260 17:11:00  -  2020/260 17:46:20  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/260 18:47:40  -  2020/260 19:23:00  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/260 20:24:10  -  2020/260 20:59:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 22:00:50  -  2020/260 22:36:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/260 23:37:30  -  2020/261 00:12:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 01:14:10  -  2020/261 01:49:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 02:50:50  -  2020/261 03:26:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 04:27:30  -  2020/261 05:02:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/261 06:04:00  -  2020/261 06:39:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/261 07:40:40  -  2020/261 08:16:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/261 09:17:20  -  2020/261 09:52:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 10:54:00  -  2020/261 11:29:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 12:30:40  -  2020/261 13:06:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 14:07:20  -  2020/261 14:42:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/261 15:43:50  -  2020/261 16:19:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/261 17:20:30  -  2020/261 17:56:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/261 18:57:10  -  2020/261 19:32:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 20:33:50  -  2020/261 21:09:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 22:10:30  -  2020/261 22:45:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/261 23:47:10  -  2020/262 00:22:30  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/262 01:23:40  -  2020/262 01:59:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/262 03:00:20  -  2020/262 03:35:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/262 04:37:00  -  2020/262 05:12:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 06:13:40  -  2020/262 06:49:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 07:50:20  -  2020/262 08:25:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 09:27:00  -  2020/262 10:02:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 11:03:40  -  2020/262 11:39:00  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/262 12:40:10  -  2020/262 13:15:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/262 14:16:50  -  2020/262 14:52:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/262 15:53:30  -  2020/262 16:28:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 17:30:10  -  2020/262 18:05:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 19:06:50  -  2020/262 19:42:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/262 20:43:30  -  2020/262 21:18:50  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/262 22:20:00  -  2020/262 22:55:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/262 23:56:40  -  2020/263 00:32:10  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/263 01:33:20  -  2020/263 02:08:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 03:10:00  -  2020/263 03:45:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 04:46:40  -  2020/263 05:22:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 06:23:20  -  2020/263 06:58:40  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/263 07:59:50  -  2020/263 08:35:20  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/263 09:36:30  -  2020/263 10:12:00  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/263 11:13:10  -  2020/263 11:48:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 12:49:50  -  2020/263 13:25:10  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 14:26:30  -  2020/263 15:01:50  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 16:03:10  -  2020/263 16:38:30  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/263 17:39:50  -  2020/263 18:15:10  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/263 19:16:20  -  2020/263 19:51:50  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/263 20:53:00  -  2020/263 21:28:30  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
  2020/263 22:29:40  -  2020/263 23:05:00  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/264 00:06:20  -  2020/264 00:41:40  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/264 01:43:00  -  2020/264 02:18:20  UTC        0.2 min         0.0 min          0.2 min          35.2 min         35.3 min      100.0 %
  2020/264 03:19:40  -  2020/264 03:55:00  UTC        0.0 min         0.0 min          0.0 min          35.3 min         35.3 min      100.0 %
  2020/264 04:56:10  -  2020/264 05:31:40  UTC        0.2 min         0.0 min          0.2 min          35.3 min         35.5 min      100.0 %
